name,min,max,action,args
SEG_8_22,119,120,CAM_5066,19
SEG_8_22,121,134,CAM_5066,18
SEG_8_22,135,156,CAM_5066,17
SEG_8_22,157,163,CAM_5066,16
SEG_8_22,164,179,CAM_5065,16
SEG_8_27,1,5,CAM_5065,12
SEG_8_26,11,28,CAM_5065,13
SEG_8_27,6,10,CAM_5065,13
SEG_8_26,29,54,CAM_5065,14
SEG_8_25,55,105,CAM_5066,11
SEG_8_24,109,141,CAM_5066,12
SEG_8_25,106,108,CAM_5066,12
SEG_8_24,142,159,CAM_5066,13
SEG_8_24,160,166,CAM_5066,14
SEG_8_23,167,168,CAM_5066,15
SEG_8_23,169,169,CAM_5065,15
SEG_8_28,1,7,CAM_5065,11
SEG_8_28,8,9,CAM_5064,17
SEG_8_29,10,32,CAM_5064,17
SEG_8_29,33,55,CAM_5065,21
SEG_8_29,56,66,CAM_5064,16
SEG_8_29,67,70,CAM_5064,15
SEG_8_29,71,71,CAM_5064,14
SEG_8_30,72,72,CAM_5064,14
SEG_8_30,73,84,CAM_5064,13
SEG_8_30,85,93,CAM_5064,12
SEG_8_31,94,94,CAM_5064,12
SEG_8_31,95,110,CAM_5064,11
SEG_16_2,1,47,CAM_5120,21
SEG_16_1,55,88,CAM_5120,20
SEG_16_2,48,54,CAM_5120,20
SEG_16_1,89,101,CAM_5120,19
SEG_16_1,102,113,CAM_5120,18
SEG_16_3,1,37,CAM_5119,11
SEG_16_3,38,55,CAM_5119,12
SEG_16_4,56,63,CAM_5119,12
SEG_16_4,64,90,CAM_5119,13
SEG_16_4,91,103,CAM_5119,14
SEG_16_4,104,108,CAM_5119,15
SEG_16_4,109,109,CAM_5119,16
SEG_16_5,110,110,CAM_5119,16
SEG_16_5,111,112,CAM_5119,17
SEG_16_5,113,117,CAM_5119,18
SEG_16_5,118,130,CAM_5119,19
SEG_16_5,131,159,CAM_5119,20
SEG_16_9,1,7,CAM_5117,11
SEG_16_9,8,20,CAM_5118,14
SEG_16_9,21,47,CAM_5118,13
SEG_16_8,55,74,CAM_5118,12
SEG_16_9,48,54,CAM_5118,12
SEG_16_7,109,130,CAM_5118,11
SEG_16_8,75,108,CAM_5118,11
SEG_16_6,164,173,CAM_5119,21
SEG_16_7,131,163,CAM_5119,21
SEG_16_10,1,9,CAM_5117,11
SEG_16_10,10,22,CAM_5117,12
SEG_16_10,23,36,CAM_5117,13
SEG_16_10,37,50,CAM_5117,14
SEG_16_10,51,55,CAM_5117,15
SEG_16_11,56,63,CAM_5117,15
SEG_16_11,64,76,CAM_5117,16
SEG_16_11,77,89,CAM_5117,17
SEG_16_11,90,103,CAM_5118,15
SEG_16_12,104,104,CAM_5118,15
SEG_16_12,105,124,CAM_5117,18
SEG_16_12,125,132,CAM_5118,16
SEG_16_12,133,143,CAM_5118,17
SEG_16_13,144,151,CAM_5118,17
SEG_16_13,152,160,CAM_5118,18
SEG_16_17,1,3,CAM_5116,19
SEG_16_17,4,5,CAM_5116,18
SEG_16_17,6,7,CAM_5116,17
SEG_16_16,12,14,CAM_5116,16
SEG_16_17,8,11,CAM_5116,16
SEG_16_16,15,23,CAM_5116,15
SEG_16_16,24,41,CAM_5116,14
SEG_16_15,62,75,CAM_5116,13
SEG_16_16,42,61,CAM_5116,13
SEG_16_15,76,99,CAM_5116,12
SEG_16_14,115,120,CAM_5118,20
SEG_16_15,100,114,CAM_5118,20
SEG_16_14,121,133,CAM_5118,19
SEG_16_14,134,144,CAM_5118,18
SEG_16_18,1,12,CAM_5116,20
SEG_16_18,13,39,CAM_5116,21
SEG_16_18,40,47,CAM_5116,22
SEG_16_19,48,78,CAM_5116,22
SEG_16_19,79,86,CAM_5116,23
SEG_16_20,87,119,CAM_5116,23
SEG_16_20,120,146,CAM_5115,11
SEG_16_20,147,190,CAM_5115,12
SEG_18_1,1,10,CAM_5128,41
SEG_18_1,11,11,CAM_5128,42
SEG_18_1,12,12,CAM_5128,43
SEG_18_1,13,13,CAM_5128,44
SEG_18_1,14,20,CAM_5128,45
SEG_18_1,21,65,CAM_5128,46
SEG_18_2,66,75,CAM_5128,46
SEG_18_3,76,76,CAM_5128,46
SEG_18_3,77,105,CAM_5128,47
SEG_18_4,106,156,CAM_5128,47
SEG_18_5,157,175,CAM_5128,47
SEG_18_9,1,16,CAM_5125,12
SEG_18_9,17,28,CAM_5124,11
SEG_18_7,74,89,CAM_5125,11
SEG_18_8,29,73,CAM_5125,11
SEG_18_6,90,103,CAM_5128,47
SEG_18_10,1,18,CAM_5125,12
SEG_18_11,19,19,CAM_5125,12
SEG_18_11,20,44,CAM_5125,13
SEG_18_12,45,45,CAM_5125,13
SEG_18_12,46,65,CAM_5125,14
SEG_18_12,66,72,CAM_5125,15
SEG_18_13,73,94,CAM_5125,15
SEG_18_14,95,95,CAM_5125,15
SEG_18_14,96,116,CAM_5125,16
SEG_18_14,117,135,CAM_5125,17
SEG_18_15,136,136,CAM_5125,17
SEG_18_15,137,186,CAM_5125,18
SEG_19_1,26,46,CAM_5142,12
SEG_19_2,1,25,CAM_5142,12
SEG_19_1,47,48,CAM_5142,13
SEG_19_1,49,51,CAM_5142,14
SEG_19_1,52,55,CAM_5142,15
SEG_19_1,56,67,CAM_5142,16
SEG_19_1,68,100,CAM_5142,17
SEG_19_3,1,9,CAM_5142,11
SEG_19_3,10,45,CAM_5141,17
SEG_19_3,46,81,CAM_5141,16
SEG_19_3,82,108,CAM_5141,15
SEG_19_3,109,118,CAM_5141,14
SEG_19_3,119,127,CAM_5141,13
SEG_19_3,128,128,CAM_5139,23
SEG_19_4,129,131,CAM_5139,23
SEG_19_4,132,133,CAM_5141,12
SEG_19_4,134,140,CAM_5141,11
SEG_19_4,141,149,CAM_5139,22
SEG_19_4,150,162,CAM_5139,21
SEG_19_4,163,180,CAM_5138,20
SEG_19_9,21,33,CAM_5138,12
SEG_19_10,1,20,CAM_5138,12
SEG_19_9,34,39,CAM_5138,13
SEG_19_9,40,42,CAM_5138,14
SEG_19_9,43,43,CAM_5138,15
SEG_19_8,45,45,CAM_5138,16
SEG_19_9,44,44,CAM_5138,16
SEG_19_8,46,52,CAM_5139,11
SEG_19_8,53,63,CAM_5139,12
SEG_19_8,64,75,CAM_5139,13
SEG_19_8,76,85,CAM_5139,14
SEG_19_7,94,97,CAM_5139,15
SEG_19_8,86,93,CAM_5139,15
SEG_19_7,98,108,CAM_5139,16
SEG_19_5,119,124,CAM_5139,17
SEG_19_6,111,118,CAM_5139,17
SEG_19_7,109,110,CAM_5139,17
SEG_19_5,125,133,CAM_5139,18
SEG_19_5,134,151,CAM_5139,19
SEG_19_5,152,154,CAM_5139,20
SEG_19_5,155,160,CAM_5138,17
SEG_19_5,161,166,CAM_5138,18
SEG_19_5,167,173,CAM_5138,19
SEG_19_11,1,6,CAM_5138,11
SEG_19_11,7,10,CAM_5137,22
SEG_19_11,11,20,CAM_5137,21
SEG_19_11,21,27,CAM_5137,20
SEG_19_11,28,34,CAM_5137,19
SEG_19_12,35,35,CAM_5137,19
SEG_19_12,36,39,CAM_5137,18
SEG_19_13,40,43,CAM_5137,18
SEG_19_13,44,49,CAM_5137,17
SEG_19_14,50,54,CAM_5137,17
SEG_19_14,55,63,CAM_5137,16
SEG_19_14,64,72,CAM_5137,15
SEG_19_14,73,77,CAM_5137,14
SEG_19_14,78,88,CAM_5137,13
SEG_19_15,89,93,CAM_5137,12
SEG_19_16,94,94,CAM_5137,12
SEG_19_16,95,97,CAM_5136,15
SEG_19_16,98,99,CAM_5136,14
SEG_19_16,100,103,CAM_5137,11
SEG_19_16,104,110,CAM_5136,13
SEG_19_16,111,123,CAM_5136,12
SEG_19_16,124,136,CAM_5136,11
SEG_19_16,137,141,CAM_5135,19
SEG_19_17,142,144,CAM_5135,19
SEG_19_17,145,148,CAM_5135,18
SEG_19_17,149,180,CAM_5135,17
SEG_19_21,1,6,CAM_5134,18
SEG_19_20,8,17,CAM_5134,19
SEG_19_21,7,7,CAM_5134,19
SEG_19_20,18,24,CAM_5134,20
SEG_19_20,25,28,CAM_5135,11
SEG_19_19,31,36,CAM_5135,12
SEG_19_20,29,30,CAM_5135,12
SEG_19_19,37,48,CAM_5135,13
SEG_19_19,49,61,CAM_5135,14
SEG_19_19,62,75,CAM_5135,15
SEG_19_18,83,120,CAM_5135,16
SEG_19_19,76,82,CAM_5135,16
SEG_19_22,1,23,CAM_5134,17
SEG_19_22,24,28,CAM_5134,16
SEG_19_23,29,31,CAM_5134,16
SEG_19_24,32,34,CAM_5134,16
SEG_19_25,35,35,CAM_5134,16
SEG_19_25,36,45,CAM_5134,15
SEG_19_25,46,62,CAM_5134,14
SEG_19_25,63,74,CAM_5134,13
SEG_19_25,75,80,CAM_5134,12
SEG_19_26,81,88,CAM_5134,12
SEG_19_26,89,101,CAM_5134,11
SEG_19_26,102,115,CAM_5133,14
SEG_19_26,116,121,CAM_5133,13
SEG_19_26,122,126,CAM_5133,12
SEG_19_26,127,129,CAM_5132,17
SEG_19_26,130,131,CAM_5132,16
SEG_19_26,132,133,CAM_5133,11
SEG_19_27,134,135,CAM_5132,15
SEG_19_27,136,142,CAM_5132,14
SEG_19_27,143,152,CAM_5132,13
SEG_19_27,153,173,CAM_5132,12
SEG_19_31,1,12,CAM_5131,11
SEG_19_31,13,40,CAM_5131,12
SEG_19_30,46,48,CAM_5131,13
SEG_19_31,41,45,CAM_5131,13
SEG_19_30,49,57,CAM_5131,14
SEG_19_30,58,66,CAM_5131,15
SEG_19_30,67,77,CAM_5131,16
SEG_19_30,78,91,CAM_5131,17
SEG_19_29,99,103,CAM_5131,18
SEG_19_30,92,98,CAM_5131,18
SEG_19_29,104,118,CAM_5131,19
SEG_19_29,119,132,CAM_5131,20
SEG_19_29,133,145,CAM_5131,21
SEG_19_28,154,158,CAM_5131,22
SEG_19_29,146,153,CAM_5131,22
SEG_19_28,159,172,CAM_5132,11
SEG_19_32,1,7,CAM_5130,11
SEG_19_32,8,9,CAM_5130,12
SEG_19_33,10,13,CAM_5130,13
SEG_19_33,14,21,CAM_5130,14
SEG_19_33,22,30,CAM_5130,15
SEG_19_33,31,59,CAM_5130,16
SEG_19_34,60,60,CAM_5130,16
SEG_19_34,61,86,CAM_5128,11
SEG_19_35,87,100,CAM_5128,11
SEG_19_35,101,126,CAM_5128,12
SEG_19_35,127,139,CAM_5128,13
SEG_19_35,140,152,CAM_5128,14
SEG_19_35,153,163,CAM_5128,15
SEG_19_35,164,170,CAM_5128,16
SEG_20_1,1,26,CAM_5137,24
SEG_20_2,27,52,CAM_5137,24
SEG_20_2,53,71,CAM_5137,25
SEG_20_3,72,72,CAM_5137,25
SEG_20_3,73,92,CAM_5138,11
SEG_20_4,93,99,CAM_5138,11
